country,year,sex,age,suicides_no,population,rate,Region
Albania,1987,female,15-24 years,14,289700,4.832585433,Europe
Albania,1987,female,25-34 years,4,257200,1.555209953,Europe
Albania,1987,female,35-54 years,6,278800,2.152080344,Europe
Albania,1987,female,5-14 years,0,311000,0,Europe
Albania,1987,female,55-74 years,0,144600,0,Europe
Albania,1987,female,75+ years,0,35600,2.808988764,Europe
Albania,1987,male,15-24 years,21,312900,6.711409396,Europe
Albania,1987,male,25-34 years,9,274300,3.28107911,Europe
Albania,1987,male,35-54 years,16,308000,5.194805195,Europe
Albania,1987,male,5-14 years,0,338200,0,Europe
Albania,1987,male,55-74 years,1,137500,0.727272727,Europe
Albania,1987,male,75+ years,1,21800,4.587155963,Europe
Albania,1988,female,15-24 years,8,295600,2.706359946,Europe
Albania,1988,female,25-34 years,5,262400,1.905487805,Europe
Albania,1988,female,35-54 years,4,284500,1.405975395,Europe
Albania,1988,female,5-14 years,0,317200,0,Europe
Albania,1988,female,55-74 years,3,147500,2.033898305,Europe
Albania,1988,female,75+ years,2,36400,5.494505495,Europe
Albania,1988,male,15-24 years,17,319200,5.325814536,Europe
Albania,1988,male,25-34 years,5,279900,1.786352269,Europe
Albania,1988,male,35-54 years,14,314100,4.457179242,Europe
Albania,1988,male,5-14 years,0,345000,0,Europe
Albania,1988,male,55-74 years,4,140200,2.853067047,Europe
Albania,1988,male,75+ years,1,22300,4.484304933,Europe
Albania,1989,female,15-24 years,5,299900,1.667222407,Europe
Albania,1989,female,25-34 years,2,266300,0.75103267,Europe
Albania,1989,female,35-54 years,7,288600,2.425502426,Europe
Albania,1989,female,5-14 years,0,321900,0,Europe
Albania,1989,female,55-74 years,1,149600,0.668449198,Europe
Albania,1989,female,75+ years,0,37000,0,Europe
Albania,1989,male,15-24 years,12,323500,3.70942813,Europe
Albania,1989,male,25-34 years,18,283600,6.34696756,Europe
Albania,1989,male,35-54 years,15,318400,4.711055276,Europe
Albania,1989,male,5-14 years,0,349700,0,Europe
Albania,1989,male,55-74 years,6,142100,4.222378607,Europe
Albania,1989,male,75+ years,2,22500,8.888888889,Europe
Albania,1992,female,15-24 years,7,292400,2.393980848,Europe
Albania,1992,female,25-34 years,4,267400,1.495886313,Europe
Albania,1992,female,35-54 years,2,323100,0.619003405,Europe
Albania,1992,female,5-14 years,0,336700,0,Europe
Albania,1992,female,55-74 years,1,164900,0.606428138,Europe
Albania,1992,female,75+ years,0,38700,0,Europe
Albania,1992,male,15-24 years,9,263700,3.412969283,Europe
Albania,1992,male,25-34 years,7,245500,2.851323829,Europe
Albania,1992,male,35-54 years,12,343800,3.490401396,Europe
Albania,1992,male,5-14 years,0,362900,0,Europe
Albania,1992,male,55-74 years,5,159500,3.134796238,Europe
